"C:\Program Files (x86)\Steam\steamapps\common\SourceFilmmaker\game\sfm.exe" +sv_lan 1 -useqtport -tools -dev -sw -w 1280 -h 720 +mat_hdr_level 3 +mat_queue_mode 0 -game usermod -insecure

c:\users\timothy\documents\github\sfmanimation\scene1.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: per-camera settings

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
      0	  0.000	      0	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      1	  0.497	      0	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      2	  0.455	      1	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      3	  0.287	      1	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      4	  0.283	      2	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      5	  0.274	      2	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      6	  0.287	      2	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      7	  0.285	      2	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      8	  0.276	      3	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
      9	  0.277	      3	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     10	  0.310	      3	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     11	  0.274	      4	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     12	  0.275	      4	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     13	  0.274	      4	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     14	  0.274	      4	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     15	  0.290	      5	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     16	  1.193	      6	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     17	  0.279	      6	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     18	  0.282	      6	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     19	  0.273	      7	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     20	  0.279	      7	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     21	  0.274	      7	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     22	  0.274	      7	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     23	  0.275	      8	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     24	  0.273	      8	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     25	  0.280	      8	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     26	  0.273	      9	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     27	  0.272	      9	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     28	  0.275	      9	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     29	  0.280	      9	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     30	  0.269	     10	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     31	  0.273	     10	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     32	  0.275	     10	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     33	  3.282	     13	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     34	  0.297	     14	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     35	  0.287	     14	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     36	  0.295	     14	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     37	  0.275	     15	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     38	  0.269	     15	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     39	  0.270	     15	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     40	  0.308	     16	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     41	  0.275	     16	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     42	  0.276	     16	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     43	  0.283	     16	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     44	  0.273	     17	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     45	  0.295	     17	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     46	  0.275	     17	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     47	  0.277	     17	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     48	  0.274	     18	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     49	  0.279	     18	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     50	  0.281	     18	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     51	  0.273	     19	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     52	  0.274	     19	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     53	  0.278	     19	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     54	  0.280	     19	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     55	  0.271	     20	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     56	  0.275	     20	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     57	  0.278	     20	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     58	  0.276	     20	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     59	  0.346	     21	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     60	  0.349	     21	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     61	  0.329	     22	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     62	  0.331	     22	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     63	  0.331	     22	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     64	  0.287	     22	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     65	  0.337	     23	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     66	  0.351	     23	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     67	  0.343	     23	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     68	  0.328	     24	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     69	  0.336	     24	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     70	  0.328	     24	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     71	  0.338	     25	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     72	  0.329	     25	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     73	  0.337	     25	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     74	  0.335	     26	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     75	  0.350	     26	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     76	  0.342	     27	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     77	  0.343	     27	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     78	  0.361	     27	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     79	  0.334	     28	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     80	  0.340	     28	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     81	  0.340	     28	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     82	  0.370	     29	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     83	  0.330	     29	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     84	  0.324	     29	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     85	  0.323	     30	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     86	  0.319	     30	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     87	  0.330	     30	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     88	  0.328	     31	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     89	  0.330	     31	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     90	  0.326	     31	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     91	  0.328	     32	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     92	  0.365	     32	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     93	  0.324	     32	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     94	  0.321	     33	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     95	  0.333	     33	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     96	  0.370	     33	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     97	  0.319	     34	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     98	  0.331	     34	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
     99	  0.325	     34	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    100	  0.324	     35	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    101	  0.278	     35	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    102	  0.329	     35	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    103	  0.334	     36	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    104	  0.341	     36	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    105	  0.326	     36	shot1                 	koth_sollytude_rc1.bsp	    8	    8	    8
    106	  0.337	     37	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    107	  0.348	     37	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    108	  0.328	     37	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    109	  0.334	     38	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    110	  0.342	     38	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    111	  0.341	     38	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    112	  0.352	     39	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    113	  0.352	     39	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    114	  0.340	     39	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    115	  0.328	     40	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    116	  0.333	     40	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
    117	  0.340	     40	shot2                 	koth_sollytude_rc1.bsp	    8	    8	    8
